# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
469	2467.71	3.38	1	3686400	100.00
470	2471.15	3.44	1	3686400	100.00
471	2474.21	3.06	1	3686400	100.00
472	2477.83	3.62	1	3686400	100.00
473	2480.87	3.04	1	3686400	100.00
474	2484.35	3.48	1	3686400	100.00
475	2487.73	3.39	1	3686400	100.00
476	2491.16	3.42	1	3686400	100.00
477	2494.25	3.10	1	3686400	100.00
478	2497.68	3.43	1	3686400	100.00
479	2500.91	3.23	1	3686400	100.00
480	2504.34	3.43	1	3686400	100.00
481	2507.74	3.40	1	3686400	100.00
482	2511.14	3.41	1	3686400	100.00
483	2514.21	3.07	1	3686400	100.00
484	2517.81	3.60	1	3686400	100.00
485	2521.08	3.27	1	3686400	100.00
486	2524.34	3.26	1	3686400	100.00
487	2527.70	3.37	1	3686400	100.00
488	2531.15	3.45	1	3686400	100.00
489	2534.24	3.09	1	3686400	100.00
490	2539.58	5.34	1	3686400	100.00
491	2544.28	4.70	1	3686400	100.00
492	2547.80	3.52	1	3686400	100.00
493	2551.08	3.28	1	3686400	100.00
494	2554.32	3.24	1	3686400	100.00
495	2557.66	3.34	1	3686400	100.00
496	2561.13	3.48	1	3686400	100.00
497	2564.33	3.20	1	3686400	100.00
498	2567.81	3.48	1	3686400	100.00
499	2571.11	3.30	1	3686400	100.00
500	2574.31	3.20	1	3686400	100.00
501	2577.63	3.32	1	3686400	100.00
502	2581.15	3.51	1	3686400	100.00
503	2584.19	3.05	1	3686400	100.00
504	2587.71	3.52	1	3686400	100.00
505	2591.07	3.36	1	3686400	100.00
506	2594.32	3.25	1	3686400	100.00
507	2597.63	3.31	1	3686400	100.00
508	2601.14	3.51	1	3686400	100.00
509	2604.21	3.07	1	3686400	100.00
510	2607.74	3.53	1	3686400	100.00
511	2611.03	3.29	1	3686400	100.00
512	2614.33	3.29	1	3686400	100.00
513	2617.55	3.22	1	3686400	100.00
514	2621.17	3.62	1	3686400	100.00
515	2624.26	3.10	1	3686400	100.00
516	2627.67	3.40	1	3686400	100.00
517	2631.06	3.40	1	3686400	100.00
518	2634.52	3.46	1	3686400	100.00
519	2637.56	3.04	1	3686400	100.00
520	2641.21	3.65	1	3686400	100.00
521	2644.20	2.99	1	3686400	100.00
522	2647.68	3.48	1	3686400	100.00
523	2651.00	3.32	1	3686400	100.00
524	2654.41	3.41	1	3686400	100.00
525	2678.27	23.85	1	3686400	100.00
526	2768.24	89.97	1	3686400	100.00
527	2939.36	171.12	1	3686400	100.00
528	2944.70	5.34	1	3686400	100.00
529	2947.97	3.27	1	3686400	100.00
530	2951.30	3.33	1	3686400	100.00
531	2954.60	3.30	1	3686400	100.00
532	2957.77	3.18	1	3686400	100.00
533	2961.19	3.41	1	3686400	100.00
534	2964.25	3.06	1	3686400	100.00
535	2967.73	3.49	1	3686400	100.00
536	3013.41	45.67	1	3686400	100.00
537	3017.97	4.56	1	3686400	100.00
538	3021.01	3.03	1	3686400	100.00
539	3024.56	3.56	1	3686400	100.00
540	3027.84	3.28	1	3686400	100.00
541	3031.18	3.34	1	3686400	100.00
542	3034.24	3.07	1	3686400	100.00
543	3037.75	3.51	1	3686400	100.00
544	3041.06	3.31	1	3686400	100.00
545	3044.40	3.34	1	3686400	100.00
546	3047.68	3.29	1	3686400	100.00
547	3051.12	3.44	1	3686400	100.00
548	3054.21	3.09	1	3686400	100.00
549	3057.82	3.61	1	3686400	100.00
550	3061.10	3.28	1	3686400	100.00
551	3064.38	3.28	1	3686400	100.00
552	3067.73	3.35	1	3686400	100.00
553	3071.24	3.50	1	3686400	100.00
554	3074.32	3.08	1	3686400	100.00
555	3077.78	3.46	1	3686400	100.00
556	3081.08	3.29	1	3686400	100.00
557	3084.34	3.27	1	3686400	100.00
558	3087.68	3.33	1	3686400	100.00
559	3091.14	3.46	1	3686400	100.00
560	3094.27	3.13	1	3686400	100.00
561	3097.78	3.52	1	3686400	100.00
562	3101.07	3.29	1	3686400	100.00
563	3104.42	3.35	1	3686400	100.00
564	3107.67	3.24	1	3686400	100.00
565	3111.17	3.51	1	3686400	100.00
566	3114.23	3.05	1	3686400	100.00
567	3117.74	3.52	1	3686400	100.00
568	3121.08	3.34	1	3686400	100.00
569	3124.41	3.32	1	3686400	100.00
570	3127.66	3.26	1	3686400	100.00
571	3131.13	3.47	1	3686400	100.00
572	3134.24	3.11	1	3686400	100.00
573	3137.72	3.48	1	3686400	100.00
574	3141.08	3.36	1	3686400	100.00
575	3144.49	3.41	1	3686400	100.00
576	3147.56	3.08	1	3686400	100.00
577	3151.22	3.65	1	3686400	100.00
578	3154.33	3.11	1	3686400	100.00
579	3157.72	3.40	1	3686400	100.00
580	3161.03	3.31	1	3686400	100.00
581	3164.58	3.55	1	3686400	100.00
582	3167.58	3.00	1	3686400	100.00
583	3171.09	3.51	1	3686400	100.00
584	3174.39	3.30	1	3686400	100.00
585	3177.68	3.29	1	3686400	100.00
586	3181.03	3.35	1	3686400	100.00
587	3186.21	5.18	1	3686400	100.00
588	3191.06	4.85	1	3686400	100.00
589	3194.49	3.43	1	3686400	100.00
590	3197.55	3.06	1	3686400	100.00
591	3201.15	3.60	1	3686400	100.00
592	3204.32	3.17	1	3686400	100.00
593	3207.69	3.36	1	3686400	100.00
594	3211.06	3.37	1	3686400	100.00
595	3214.54	3.49	1	3686400	100.00
596	3217.65	3.11	1	3686400	100.00
597	3221.09	3.44	1	3686400	100.00
598	3224.44	3.34	1	3686400	100.00
599	3227.66	3.22	1	3686400	100.00
600	3231.02	3.36	1	3686400	100.00
601	3234.49	3.47	1	3686400	100.00
602	3237.63	3.14	1	3686400	100.00
603	3241.10	3.47	1	3686400	100.00
604	3244.36	3.26	1	3686400	100.00
605	3247.66	3.30	1	3686400	100.00
606	3250.99	3.32	1	3686400	100.00
607	3254.47	3.48	1	3686400	100.00
608	3257.59	3.12	1	3686400	100.00
609	3261.11	3.52	1	3686400	100.00
610	3264.42	3.32	1	3686400	100.00
611	3267.76	3.33	1	3686400	100.00
612	3270.98	3.23	1	3686400	100.00
613	3274.50	3.52	1	3686400	100.00
614	3277.56	3.06	1	3686400	100.00
615	3281.28	3.72	1	3686400	100.00
616	3284.45	3.17	1	3686400	100.00
617	3287.70	3.24	1	3686400	100.00
618	3290.98	3.28	1	3686400	100.00
619	3294.52	3.54	1	3686400	100.00
620	3297.88	3.36	1	3686400	100.00
621	3301.13	3.25	1	3686400	100.00
622	3304.42	3.29	1	3686400	100.00
623	3307.69	3.27	1	3686400	100.00
624	3310.91	3.22	1	3686400	100.00
625	3314.49	3.59	1	3686400	100.00
626	3317.72	3.23	1	3686400	100.00
627	3321.12	3.40	1	3686400	100.00
628	3324.47	3.34	1	3686400	100.00
629	3327.76	3.30	1	3686400	100.00
630	3330.94	3.17	1	3686400	100.00
631	3334.49	3.56	1	3686400	100.00
632	3337.56	3.06	1	3686400	100.00
633	3341.00	3.45	1	3686400	100.00
634	3344.44	3.44	1	3686400	100.00
635	3347.86	3.42	1	3686400	100.00
636	3350.94	3.08	1	3686400	100.00
637	3354.45	3.51	1	3686400	100.00
638	3357.73	3.28	1	3686400	100.00
639	3361.05	3.32	1	3686400	100.00
640	3364.37	3.33	1	3686400	100.00
641	3367.82	3.44	1	3686400	100.00
642	3370.90	3.08	1	3686400	100.00
643	3374.43	3.53	1	3686400	100.00
644	3377.74	3.31	1	3686400	100.00
645	3381.05	3.31	1	3686400	100.00
646	3384.39	3.34	1	3686400	100.00
647	3387.82	3.43	1	3686400	100.00
648	3390.90	3.08	1	3686400	100.00
649	3394.46	3.56	1	3686400	100.00
650	3397.65	3.19	1	3686400	100.00
651	3401.02	3.36	1	3686400	100.00
652	3404.35	3.34	1	3686400	100.00
653	3407.84	3.48	1	3686400	100.00
654	3410.99	3.15	1	3686400	100.00
655	3414.42	3.43	1	3686400	100.00
656	3417.79	3.37	1	3686400	100.00
657	3421.01	3.22	1	3686400	100.00
658	3424.34	3.33	1	3686400	100.00
659	3427.75	3.41	1	3686400	100.00
660	3431.04	3.29	1	3686400	100.00
661	3434.48	3.45	1	3686400	100.00
662	3437.74	3.26	1	3686400	100.00
663	3441.01	3.26	1	3686400	100.00
664	3444.27	3.26	1	3686400	100.00
665	3447.93	3.66	1	3686400	100.00
666	3450.99	3.06	1	3686400	100.00
667	3454.37	3.38	1	3686400	100.00
668	3457.74	3.37	1	3686400	100.00
669	3461.08	3.34	1	3686400	100.00
670	3464.35	3.27	1	3686400	100.00
671	3467.82	3.47	1	3686400	100.00
