# idx	t_ms	dt_ms	rects	dmg_px	dmg_pct
236	1484.16	3.46	0	0	0.00
237	1487.46	3.30	0	0	0.00
238	1490.76	3.31	0	0	0.00
239	1494.09	3.33	0	0	0.00
240	1497.56	3.46	0	0	0.00
241	1500.72	3.17	0	0	0.00
242	1504.15	3.43	0	0	0.00
243	1507.46	3.31	0	0	0.00
244	1510.80	3.34	0	0	0.00
245	1514.04	3.24	0	0	0.00
246	1517.48	3.44	0	0	0.00
247	1520.72	3.23	0	0	0.00
248	1524.13	3.41	0	0	0.00
249	1527.45	3.32	0	0	0.00
250	1530.72	3.27	0	0	0.00
251	1534.03	3.31	0	0	0.00
252	1537.51	3.48	0	0	0.00
253	1540.75	3.24	0	0	0.00
254	1544.15	3.40	0	0	0.00
255	1547.46	3.31	0	0	0.00
256	1550.73	3.26	0	0	0.00
257	1554.07	3.34	0	0	0.00
258	1557.52	3.45	0	0	0.00
259	1560.77	3.24	0	0	0.00
260	1564.17	3.40	0	0	0.00
261	1567.48	3.31	0	0	0.00
262	1570.78	3.29	0	0	0.00
263	1574.15	3.38	0	0	0.00
264	1577.52	3.37	0	0	0.00
265	1580.71	3.19	0	0	0.00
266	1584.09	3.38	0	0	0.00
267	1589.20	5.11	0	0	0.00
268	1590.89	1.69	0	0	0.00
269	1594.10	3.20	0	0	0.00
270	1597.49	3.39	0	0	0.00
271	1600.75	3.26	0	0	0.00
272	1604.10	3.35	0	0	0.00
273	1607.45	3.35	0	0	0.00
274	1610.84	3.39	0	0	0.00
275	1614.05	3.20	0	0	0.00
276	1617.51	3.47	0	0	0.00
277	1620.76	3.25	0	0	0.00
278	1624.10	3.33	0	0	0.00
279	1627.40	3.31	0	0	0.00
280	1630.87	3.47	0	0	0.00
281	1634.41	3.54	0	0	0.00
282	1637.54	3.13	0	0	0.00
283	1640.82	3.28	0	0	0.00
284	1644.06	3.24	0	0	0.00
285	1647.43	3.37	0	0	0.00
286	1650.89	3.46	0	0	0.00
287	1654.10	3.21	0	0	0.00
288	1657.53	3.43	0	0	0.00
289	1660.85	3.32	0	0	0.00
290	1664.07	3.22	0	0	0.00
291	1667.44	3.37	0	0	0.00
292	1670.88	3.44	0	0	0.00
293	1674.07	3.19	0	0	0.00
294	1677.47	3.41	0	0	0.00
295	1680.81	3.34	0	0	0.00
296	1684.13	3.32	0	0	0.00
297	1687.41	3.28	0	0	0.00
298	1690.87	3.46	0	0	0.00
299	1694.06	3.19	0	0	0.00
300	1697.47	3.41	0	0	0.00
301	1700.80	3.33	0	0	0.00
302	1704.16	3.36	0	0	0.00
303	1708.43	4.27	0	0	0.00
304	1710.71	2.28	0	0	0.00
305	1714.09	3.38	0	0	0.00
306	1717.47	3.38	0	0	0.00
307	1720.80	3.33	0	0	0.00
308	1724.06	3.27	0	0	0.00
309	1727.38	3.32	0	0	0.00
310	1730.86	3.47	0	0	0.00
311	1734.11	3.25	0	0	0.00
312	1737.50	3.39	0	0	0.00
313	1740.81	3.31	0	0	0.00
314	1744.09	3.28	0	0	0.00
315	1747.41	3.32	0	0	0.00
316	1750.90	3.49	0	0	0.00
317	1754.07	3.17	0	0	0.00
318	1757.43	3.36	0	0	0.00
319	1760.87	3.44	0	0	0.00
320	1764.15	3.28	0	0	0.00
321	1767.46	3.32	0	0	0.00
322	1770.89	3.43	0	0	0.00
323	1774.08	3.19	0	0	0.00
324	1777.44	3.36	0	0	0.00
325	1780.82	3.38	0	0	0.00
326	1784.21	3.39	0	0	0.00
